description,timestamp,cleaned_description
"Oh, How The Kamala Has Turned On The Once ""Medieval Vanity Project"" That Is Trump's Border Wall",2024-08-28 05:11:49,Oh How The Kamala Has Turned On The Once Medieval Vanity Project That Is Trumps Border Wall
The flip-flops never stop!,2024-08-27 21:39:53,The flipflops never stop
This is just an unreal way to run a campaign.,2024-08-27 16:13:47,This is just an unreal way to run a campaign
"Joy Reid Can't Fathom Why Anyone Wants Trump As President, Then Is Completely Wrong About Economy",2024-08-26 23:53:14,Joy Reid Cant Fathom Why Anyone Wants Trump As President Then Is Completely Wrong About Economy
"""[Biden]'s never once reached out to any of our families. Kamala Harris has never reached out.""

The Gold Star families of the 13 servicemembers killed at Abbey Gate during the Afghanistan withdrawal praise @realdonaldtrump for reaching out to them while criticizing Harris and Biden, saying the sitting president responsible for giving the order to withdraw hasn't reached out to the families at all.

📸: Provided by the Trump campaign",2024-08-26 23:28:18,"Bidens never once reached out to any of our families Kamala Harris has never reached out

The Gold Star families of the 13 servicemembers killed at Abbey Gate during the Afghanistan withdrawal praise realdonaldtrump for reaching out to them while criticizing Harris and Biden saying the sitting president responsible for giving the order to withdraw hasnt reached out to the families at all

 Provided by the Trump campaign"
"Caitlin Clark's been great since the All-Star break and, as a rookie, is a top-ten scorer and leads the league in assists.

Link in bio for MORE.",2024-08-26 21:08:47,"Caitlin Clarks been great since the AllStar break and as a rookie is a topten scorer and leads the league in assists

Link in bio for MORE"
'Mind Your Own Damn Business' Is Rich Coming From The Guy Who Set Up A COVID Snitch Line To Tell On Your Neighbors,2024-08-22 23:37:30,Mind Your Own Damn Business Is Rich Coming From The Guy Who Set Up A COVID Snitch Line To Tell On Your Neighbors
"In Britain, some rioters must correct their behavior behind bars, while other criminals are prescribed sunshine for a different lifestyle.

@michaeljknowles discusses Abigail Anthony's piece on the UK's two-tier policing and justice system that punished a man who handed out stickers that said ""its okay to be white"" harsher than someone who possessed child pornography.

Link in bio for MORE.",2024-08-22 21:22:12,"In Britain some rioters must correct their behavior behind bars while other criminals are prescribed sunshine for a different lifestyle

michaeljknowles discusses Abigail Anthonys piece on the UKs twotier policing and justice system that punished a man who handed out stickers that said its okay to be white harsher than someone who possessed child pornography

Link in bio for MORE"
"Michael Knowles discusses Abigail Anthony's piece on the UK's two-tier policing and justice system that punished a man who handed out stickers that said ""its okay to be white"" harsher than someone who possessed child pornography.",2024-08-22 21:18:24,Michael Knowles discusses Abigail Anthonys piece on the UKs twotier policing and justice system that punished a man who handed out stickers that said its okay to be white harsher than someone who possessed child pornography
Michelle Obama Accuses Trump Of Hating Them Because He's Racist & She Couldn't Be More Wrong,2024-08-22 03:37:24,Michelle Obama Accuses Trump Of Hating Them Because Hes Racist  She Couldnt Be More Wrong
