description,timestamp
"At Kamala Harris’s first rally since announcing Minnesota governor Tim Walz as her running mate, the room at Temple University in Philadelphia, Pennsylvania, was ebullient, filled with thousands of voters cheering and waving Harris-Walz signs.

Voters at the Tuesday rally were split in their opinions about Harris’s decision to pass over Josh Shapiro, the Pennsylvania governor who was on the shortlist of vice-presidential candidates. Still, they reaffirmed their vow to support Harris and to ensure that Trump isn’t elected again.

Comparing Walz’s resume to that of JD Vance, Harris said, “Well some might say it’s like, a match-up between the varsity team and the JV squad.”

Read more via the link in our bio.

#KamalaHarris #JDVance #TimWalz #USelections #US #news",2024-08-07 05:57:33
"Presumptive Democratic nominee Kamala Harris has chosen the Minnesota governor, Tim Walz, as her running mate in the presidential race, elevating a popular although relatively unknown leader who has attracted the support of progressive voters in recent days.

Walz recently captured the internet’s attention and swayed Democrats’ messaging by succinctly summing up how he views Republicans: they’re weird.

But it’s not just the “weird” of it all: he’s been able to run through a list of what Democrats want, and what he’s done as governor during a banner time for Democrats in his state, that articulates to voters what they would be voting for – not just the danger of what they’re voting against. He speaks plainly and pragmatically, showing the commonsense policies his party stands for.

“Tim’s just a freaking down-home guy,” said Tim Ryan, a former Democratic US representative from Ohio who worked with Walz.

Ryan called to mind a recent clip in which Walz mentioned that Minnesota ranked in the top three for happiest states in the nation. “Isn’t that really the goal here? For some joy? When he mentioned that, I was like, dang man, that’s really good. That’s really good, because it gets us out of the political space and into the human being space.”

Swipe to read more about Walz’s time as a politician. Follow the link in bio for the full story.",2024-08-06 23:02:19
"‘It can destroy people,’ says Imane Khelif, an Algerian boxer in the centre of an Olympics gender eligibility row has called for an end to “bullying” as she continues to face hostility over her participation in the Games.

Khelif and the Chinese Taipei fighter Lin Yu-ting have come under intense scrutiny in Paris 2024. Both fighters competed without incident at Tokyo 2020, but were disqualified from last year’s world championships at a late stage by the International Boxing Association (IBA) for failing to meet its gender eligibility criteria.

The International Olympic Committee (IOC) has cast doubts on the tests taken, calling the disqualifications “arbitrary”, while the IOC president Thomas Bach said the boxers had been subjected to “hate speech”.

The two athletes’ presence became headline news after the Italian boxer Angela Carini abandoned her bout against Khelif after 46 seconds of the fight, claiming she had never been hit harder.

Imane Khelif, who is assured of at least a bronze medal ahead of her next bout on Tuesday, said she hoped that a gold medal would come out of the pain she had endured over the past week.

#Olympics #Boxing #Boxer",2024-08-06 18:10:42
"Kamala Harris has named Tim Walz, the governor of Minnesota, as her running mate ahead of the November election.

The decision ends intense speculation over which candidate Harris would pick to go up against Donald Trump, the Republican nominee and former president, and his choice for vice-president, Ohio senator JD Vance.

The Minnesota governor captured the internet’s attention and swayed Democrats’ messaging by succinctly summing up how he views Republicans: they’re weird.

Some political commentators had suggested that, as the first woman of color nominated by a major party, Harris was mostly likely to pick a white man to balance the ticket.

Walz, 60, was born and raised in small-town Nebraska. He became a teacher, first in China, then in Nebraska and finally in Mankato, Minnesota, where he taught geography and coached the high school football team. He was the faculty adviser for the school’s first gay-straight alliance chapter in 1999, long before Democrats nationally stood for gay rights.

Kamala Harris will formally introduce Minnesota Governor Tim Walz as her running mate at a rally in Philadelphia, Pennsylvania, later today.

For more on who Tim Walz is, follow the link in bio.",2024-08-06 16:15:17
"The UK prime minister, Keir Starmer, has warned “far-right thugs” that they will regret any role in rioting, after violent anti-immigration protests spread through multiple cities in England and in Belfast at the weekend.

These clashes were met by even larger counter-protests in many areas, with residents in Middlesbrough, Sunderland and other locations uniting to help clean up after a trail of destruction.

At least 247 related arrests were made at the weekend in England and Northern Ireland. The violence is the worst mass disorder since the 2011 riots across England.

The far-right marches took place after a knife attack in Southport, where three girls were killed and 10 people injured after a 17-year-old boy attacked a Taylor Swift-themed dance class.

A flood of disinformation about the Southport stabbings has been spread on social media by sources ranging from far-right activists to fake news websites and conspiracy theorists, leading to a far-right attack on a mosque in the town shortly after.

Starmer has said a “standing army” of specialist police officers would be set up to quell the rioting and unrest, according to the PA news agency.

A senior adviser on extremism to Conservative prime ministers has suggested the Tory government left the UK wide open to far-right violence erupting across parts of the country by ignoring red flags and stoking a culture war agenda.

The Police Federation of England and Wales said the clashes were 'flooding across major cities and towns' and warned that further violence was likely in the coming days.

Follow the latest on this story via the link in bio.",2024-08-05 20:10:58
"The prime minister of Bangladesh, Sheikh Hasina, has resigned and left the country, the head of the army has confirmed, amid some of the worst violence since the birth of the south Asian country more than 50 years ago.

In a briefing to reporters, Army Chief Gen Waker-Uz-Zaman announced he was assuming control at “a critical time for our country” and would establish an interim government.

“I am taking responsibility now and we will go to the president and ask to form an interim government to lead the country in the meantime.”

Hasina, 76, who has ruled Bangladesh since 2009, left by helicopter, a source close to the leader told Agence France-Presse news agency shortly after protesters had stormed her palace in the capital, Dhaka.

Watch the video to see how protesters have responded to Hasina’s resignation. Click the link in bio to read more on this story.

#Bangladesh #Protest #Politics",2024-08-05 19:09:44
"Before the war, 32-year-old Hamada Shaqoura was a food blogger covering the best of Gaza’s vibrant food scene.

Now, forced to flee his home to southern Gaza, and as the hunger and displacement crisis in the territory increases, he makes meals out of aid rations to feed and bring joy to people living in refugee camps – especially children.

Since Israel’s invasion of Gaza after Hamas’s 7 October attack, and the intensification of its 17-year-blockade of the strip, nearly half a million people in Gaza are facing starvation, according to a report by the Integrated Food Security Phase Classification.

A group of independent UN human rights experts have also warned “there is no doubt that famine has spread from northern Gaza into central and southern Gaza”, after the recent deaths of several children due to malnutrition.

“No matter how much I cook, people need more,” says @hamadashoo who currently lives in Khan Younis, having fled Rafah after Israel began its ground invasion in May. His first child was born there shortly after.

“I use food to portray the suffering of our people,” says Shaqoura, who says he uses his Instagram account, where he posts videos of himself cooking and handing out food, to encourage people to raise awareness of the hunger in Gaza.

“I want my son to have a better life and not see such days again,” he says.

Watch the video for his story.",2024-08-05 10:00:57
"PFAS are a class of about 15,000 compounds typically used to make products that resist water, stains and heat. They are called “forever chemicals” because they do not naturally break down and accumulate, and are linked to cancer, immune disorders, and other serious health problems.

In recent years, research has found or pointed to the presence of toxic PFAS in a range of staples, products and beverages across the food system that makes it difficult to know what is safe to eat and what is not.

So, how can you avoid PFAS in your diet? The simple answer is: you can’t, not completely.

That’s because the contamination happens before you ever step foot in a grocery store. The FDA does not have limits in place on PFAS in food.

Among the most serious concerns of contamination is sewage sludge, which is used as a cheap alternative to fertilizer on cropland as well as the water used on crops or for livestock, all things that are out of the consumer’s control.

However, there are some steps you can take to reduce your exposure and protect your health.

Swipe to read through some, and click the link in our bio for more.",2024-08-04 15:20:27
"New research into the presence of metals in tampons has caused concern across the internet – but experts say not to panic.

A small-scale study by researchers at the University of California, Berkeley found ""measurable concentrations"" of metals in all the tampons they tested, including low levels of several toxic metals, with lead found to be the metal with the highest concentration.

While this may sound worrying, there is no evidence that the metals are causing any harm.

Watch Science Weekly presenter Madeleine Finlay explain why you shouldn’t be throwing away your tampons – and what the researchers are calling for next.",2024-08-03 10:00:15
"“Justice has finally arrived,” says Pjotr Sauer, the Guardian’s Russian affairs correspondent, after his good friend Evan Gershkovich was released after more than 16 months in Russian prison.

Gershkovich was on a reporting trip deep in the Russian regions when the FSB came for him. The Wall Street Journal reporter was in Yekaterinburg, more than 850 miles from the Russian capital, when agents approached his table at a local bistro. As they frog-marched him out of the restaurant, the officers pulled Gershkovich’s shirt over his head to obscure his identity, witnesses said. The signal was clear: this was no ordinary arrest.

Gershkovich was the first reporter to be charged with espionage since the cold war, and Putin barely hid his aim to use the journalist in a prisoner swap with the west.

After 500 days in jail, on Thursday evening Gershkovich was finally released. We spoke to @pjotrsauer about his reaction to his friend’s release.

Click the link in bio to read more about this story.

#EvanGershkovich #Russia #US",2024-08-02 19:26:35
"Simone Biles has won her sixth Olympic gold medal, and her second of the Paris Games, capturing the women’s all-around final for a second time.

The 27-year-old returned to the summit of world gymnastics eight years after winning her first Olympic all-around title in Rio, becoming only the third woman in history to earn the sport’s most prestigious title more than once, after Larisa Latynina of the Soviet Union (1956 and 1960) and Vera Caslavska of Czechoslovakia (1964 and 1968).

Biles also became the oldest women’s all-around Olympic champion since the Soviet Union’s Maria Gorokhovskaya, who won the gold in 1952 when she was 30. She also becomes the sixth straight American woman to win the title.

The historic gold marked her 39th career medal between the Olympics and world championships, extending her record as the most decorated gymnast in history. Since winning her first national title in 2013, she has won every all-around competition in every meet she has entered.

Team USA’s Suni Lee, the defending gold medalist in all-around, took home the bronze.

Follow the link in bio for the full story.",2024-08-01 21:51:00
"“It’s not the first time we are doing this [reporting the deaths of colleagues] but every time it feels as if it’s the first time.”

This is what Hind Khoudary, a Palestinian journalist in Gaza working for Al Jazeera said after learning of the death of her colleagues Ismail al-Ghoul andcamera operator Rami al-Rifi after an Israeli strike hit their car in northern Gaza.

Al Jazeera said Ghoul and Rifi were in the al-Shati refugee camp reporting from near the house of the Hamas political chief, Ismail Haniyeh, who had been killed in an Israeli strike hours earlier.

The journalists were wearing press vests and Al Jazeera says their car was clearly marked as a press vehicle. Footage from the ground shows a white car completely destroyed.

Khoudary described how “heartbreaking” it was to have to report on the deaths of her Al-Jazeera colleagues, which include the camera operator Samer Abu Daqqa and journalist Hamza Wael Dahdouh, who were killed in separate Israeli airstrikes in December and January.

Authorities in Gaza say 165 Palestinian journalists have been killed since 7 October.

Khoudary also referenced the killing of Al Jazeera journalist Shireen Abu Akleh in the West Bank in 2022. A joint investigation by Forensic Architecture and Palestinian human rights organisation Al-Haq found evidence that an Israeli sniper repeatedly shot at Akleh and that her killing was deliberate.

Israel initially blamed the Al Jazeera reporter’s death on Palestinian militants, but after widespread international outrage later said there was a “high possibility” she was killed by an Israeli soldier. 

The IDF maintains the shooting was accidental, and therefore a criminal investigation is not warranted.

Find out more by heading to the link in bio.",2024-08-01 16:46:40
"During a contentious panel hosted by the National Association of Black Journalists (NABJ), Donald Trump repeated misinformation and questioned Kamala Harris’s race.

He also accused a panel moderator, Rachel Scott – the senior congressional correspondent for ABC News – of being “rude” and posing a “nasty question” when she asked him: “Why should Black voters trust you?”

There was a mixed reaction among journalists in the room.

At least two Black attenders sporting Trump hats frequently cheered for the former president, especially when he claimed that he had faced “political persecution” after facing 34 felon charges.

Others were critical. “Ultimately, the conversation was a non-starter,” said Michael Liptrot, South Side Weekly reporter. “The moderators did their best to lead a productive conversation and dive deeper and, ultimately, attempts to flip the question led to a stalemate in many ways.”

From abortion to immigration, watch the video to hear five of Trump’s lies at panel of Black journalists.

#Trump #Politics #US #Race",2024-08-01 15:58:28
"Almost half of dementia cases worldwide could be prevented or delayed, a study has found, with leading experts naming 14 risk factors.

The number of people living with dementia globally is forecast to nearly triple to 153 million by 2050, and researchers warn this presents a rapidly growing threat to health and social care systems.

However, in a seismic report published by the Lancet, 27 of the world’s leading dementia experts concluded that far more cases could be avoided or delayed than previously thought.

Addressing 14 modifiable risk factors, starting in childhood and continuing throughout life, could prevent or delay 45% of dementia cases, even as people live longer, the Lancet commission on dementia said.

“Many people around the world believe dementia is inevitable but it’s not,” said lead author of the research, Prof Gill Livingston. “It’s never too early or too late to take action.”

The report adds two risk factors that are associated with 9% of dementia cases. About 7% of cases are linked to “bad” cholesterol in midlife from about the age of 40, while 2% of cases are attributable to untreated vision loss in later life.

These new risk factors are in addition to 12 identified by the Lancet commission in 2020: lower levels of education, hearing impairment, high blood pressure, smoking, obesity, depression, physical inactivity, diabetes, excessive alcohol consumption; traumatic brain injury, air pollution and social isolation.

Follow the link in bio to read more.",2024-08-01 00:00:53
"“I don’t know what it’s made of this kush, I just smoke it”, says Mustapha, who is addicted to smoking kush - a new mystery substance made from a deadly cocktail of chemicals, drugs and even human bones. 

The government has declared a war on kush, giving police new powers to raid suspected dealers and manufacturers. But this is also pushing drug users further out of their communities into drug hideouts in mangrove swamps. And as the ingredients to make kush are becoming harder to find, people are turning to increasingly dangerous methods of getting high. 

Head to the link in bio to watch the full video and to hear more from Mustapha, a father who is addicted to smoking kush, and Dr Abass Wurie on what makes kush so dangerous.

#kush #SierraLeone #drugs",2024-07-31 19:15:41
"Southport rioters will feel “full force of the law”, the UK prime minister, Keir Starmer, has said.

It came after far-right protesters pelted police with glass bottles and bricks and attacked a mosque following a knife attack that killed three children.

Starmer said the rioters had “hijacked the vigil for the victims with violence and thuggery” and “insulted the community as it grieves”.

Thirty-nine police officers sustained injuries, North West ambulance service said, with 27 of them taken to hospital. Merseyside police said eight officers suffered serious injuries including fractures, lacerations, a suspected broken nose and a concussion. Other officers suffered head injuries and serious facial injuries, and one was knocked unconscious.

This came after misinformation about the Southport knife attack suspect spread on social media as far-right activists and conspiracy theorists shared content.

The only details released about the suspect by police are that he is a 17-year-old from the village of Banks in Lancashire, who was born in the UK.

The UK’s home secretary, Yvette Cooper, urged the public to avoid “unhelpful” speculation about the attack, saying social media companies “need to take some responsibility” for the content being shared on their sites.

For more on this story, click the link in bio.",2024-07-31 15:56:30
"Not only has Nada Hafez competed and won a match for her country at the Olympics – but she has done it while seven months pregnant. 

“What appeared to you as two players, was actually three –  me, my competitor, and my yet-to-come-to-our-world little baby,” said the 26-year-old Egyptian. 

Hafez says it has been a tough but rewarding time for her family. “My baby and I had our fair share of challenges, be it both physical and emotional. The rollercoaster of pregnancy is tough on its own, but having to fight to keep the balance of life and sports was nothing short of strenuous, however worth it. 

“I’m lucky to have shared the trust of my husband and that of my family to be able to come this far. This Olympics was different; three-times Olympian, but this time carrying a little Olympian!”",2024-07-30 16:24:06
"“We are tired,“ said 23-year-old protester Hemgerly Serrano, as thousands took to the streets in Venezuela to demonstrate against the result of the country’s presidential election in which Nicolás Maduro was declared the winner, despite exit polls pointing to an opposition win.

After a six-hour delay in releasing the results of Sunday’s poll prompted international concern, Venezuela’s electoral council claimed Maduro had won with 51.21% of votes compared with 44.2% for his rival, Edmundo González Urrutia, a former diplomat.

Independent observers had described the election as the most arbitrary in recent years, even by the standards of an authoritarian regime that started with Maduro’s mentor and predecessor, Hugo Chávez.

Reuters reported that Edison Research published an exit poll showing González Urrutia had won 65% of the vote, while Maduro won 31%.

Maduro, a 61-year-old former union leader and foreign minister, was narrowly elected in 2013, after the death of Chávez; his 2018 re-election was widely dismissed as a sham. At a rally in this year’s election, he warned of a “bloodbath” if he lost to González Urrutia.

He has presided over an economic collapse, mass migration, and deteriorating relations with the west, including US and EU sanctions that have crippled an already struggling oil industry.

International leaders expressed concern about the results.

“Maduro's regime must understand that the results are hard to believe,” said Chile’s president, Gabriel Boric.

“The international community and especially the Venezuelan people, including the millions of Venezuelans in exile, demand total transparency ... we will not recognise any result that is not verifiable.”

Find out more about why people are protesting by heading to the link in bio.",2024-07-30 16:18:38
